public_row_id,evidence_lane,source_file_public_id,suite_id,instance_id,tier_label,hardware_class,seed,status,claim_pin_status,capability_boundary_status,best_known_source_id,baseline_value_type,best_known_value,objective_value,quality_metric,gap_to_best_known,gap_fraction,gap_percent,timing_claim_allowed,timing_disclosure_status,source_row_sha256,public_row_sha256
biqmac_parity-0000001,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.2,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,biqmac_library_official,proven_optimum,1432,1432.0,0.0,0.0,0.0,0.000000,false,timing_fields_redacted_not_claimed,606781ad13f5fce08f43524588bf906fe925a3c1d4e0a11921536daabad4cee0,13307d4334a47a20696d1a7d4e9b31a196225680ae5f86e17cbc1dde11a3f781
biqmac_parity-0000002,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.2,T3_RTX4060_TI,remote RTX 4060 Ti,1,completed,passed,fits,biqmac_library_official,proven_optimum,1432,1429.0,0.002094972067039106,3.0,0.002094972067039106,0.209497,false,timing_fields_redacted_not_claimed,79007810a29b503116191d735b37b598cb96b32b1956d45e287affbb359a3cce,29b23074ec69ccbeb1266df114b5850bcc41dc2827b64e9ed356acf87c17ad7e
biqmac_parity-0000003,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.2,T3_RTX4060_TI,remote RTX 4060 Ti,2,completed,passed,fits,biqmac_library_official,proven_optimum,1432,1432.0,0.0,0.0,0.0,0.000000,false,timing_fields_redacted_not_claimed,2aa1e75fea221c666948fc0919c8b9c7a92a7403657d96ba9be3d2cc8c9a015b,02bf2b6b1a53f04bdffe12bbb03fd323b235054f0900049953571e246ea2dfcc
biqmac_parity-0000004,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.3,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,biqmac_library_official,proven_optimum,1424,1424.0,0.0,0.0,0.0,0.000000,false,timing_fields_redacted_not_claimed,8fef001e34664a2aaeb17c7f57b78561b5f0fd73b2b73ffb11f48e7b094ad0d5,cafdab440f44f6870330731d9baabccaa0e7438cbd22e9d4e5fbe0faa091522f
biqmac_parity-0000005,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.3,T3_RTX4060_TI,remote RTX 4060 Ti,1,completed,passed,fits,biqmac_library_official,proven_optimum,1424,1420.0,0.0028089887640449437,4.0,0.0028089887640449437,0.280899,false,timing_fields_redacted_not_claimed,53f542259ddc1903206c785c1771fac802872685fecc0c00c3fd697227e22020,d02f44bc732d033132c15310b5ddb9c735adc011d8f5a322debae4ebcc8d3563
biqmac_parity-0000006,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.3,T3_RTX4060_TI,remote RTX 4060 Ti,2,completed,passed,fits,biqmac_library_official,proven_optimum,1424,1420.0,0.0028089887640449437,4.0,0.0028089887640449437,0.280899,false,timing_fields_redacted_not_claimed,400a4007c48b941bb467629b0434a4f3c0539c0ced1b4007ebdd76a44e2722d6,e3477217b2f01e9b3a7b66097506b31042f70090ef5664d2e851f4ddfbe55a72
biqmac_parity-0000007,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.4,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,biqmac_library_official,proven_optimum,1440,1440.0,0.0,0.0,0.0,0.000000,false,timing_fields_redacted_not_claimed,93172747b3cb471e84a847d249bce992399b71005c02a84ab08005ba89fa1a38,30fa2b4a26e657e54e122cb46eefbc053bc53c9d0e635a75962df8a4991cd873
biqmac_parity-0000008,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.4,T3_RTX4060_TI,remote RTX 4060 Ti,1,completed,passed,fits,biqmac_library_official,proven_optimum,1440,1440.0,0.0,0.0,0.0,0.000000,false,timing_fields_redacted_not_claimed,127bd9f8caa650122536b3505743f81e035e7bc732b8c3f5b3f1e7ed13da5890,ef1bcede2cd1f6e937f92a1545fae7ebe7b9865d387a7fd20be0153f95a9a082
biqmac_parity-0000009,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.4,T3_RTX4060_TI,remote RTX 4060 Ti,2,completed,passed,fits,biqmac_library_official,proven_optimum,1440,1440.0,0.0,0.0,0.0,0.000000,false,timing_fields_redacted_not_claimed,14a1afe98b973704c3061dc8515ecf8060236e6df4a99eb83d9a17c35f6448ea,6b1026d33a832626cadc028a8187a1da20bf729af363731eb274916950ad127e
biqmac_parity-0000010,biqmac_parity,biqmac_breadth2_source_repaired_tier3,biqmac_comprehensive,g05_100.5,T3_RTX4060_TI,remote RTX 4060 Ti,0,completed,passed,fits,biqmac_library_official,proven_optimum,1436,1436.0,0.0,0.0,0.0,0.000000,false,timing_fields_redacted_not_claimed,ab870a3a41ac3bc15904f34b13708a84bdbbef6d7a35223e55898c1b07890dd7,427446979e2f754ef806db9c7faff9aa635891b56e4f59ea39e11c5cbeeaaca4
